,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.49998356764518465,0.5000164323548154,0.0,complete,False,0.5,14.0,91.0,44.0,47.0,cx,1.0,10.0,True,False,196.0,196.0,20.341142892837524,77238.0,18612.0,58626.0,130250193.0,20.4529869556427,2024-11-10 23:25:03.995915
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,45.5,45.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.47802197802197804,0.521978021978022,-0.043956043956043946,0.9157894736842105,1.0919540229885059,363.99999999999994,173.99999999999997,189.99999999999997,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4958374958374959,0.5041625041625041,-0.00832500832500823,0.9834874504623516,1.0167897918065814,3003.0,1489.0000000000002,1513.9999999999998,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5013320013320016,0.4986679986679984,0.0026640026640032373,1.0053422370617708,0.9946861507804704,24023.999999999993,12044.000000000004,11979.999999999989,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.49985569985569955,0.5001443001443004,-0.0002886002886010054,0.99942296595499,1.000577367205544,180180.00000000076,90064.00000000032,90116.00000000044,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.4996373996374013,0.5003626003625987,-0.000725200725197574,0.998550649619552,1.0014514540459216,1235520.0000000624,617312.0000000332,618208.0000000292,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.500076642933772,0.49992335706622804,0.0001532858675438481,1.0003066187354066,0.9996934752508243,7567559.999993219,3784359.9999965043,3783199.9999967148,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5000507429078836,0.4999492570921163,0.0001014858157673409,1.000202992232367,0.9997970489651166,40360319.999884725,20182207.999942273,20178111.99994245,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.4999670523479791,0.5000329476520209,-6.589530404179614e-05,0.9998682180757265,1.000131799293038,181621440.00219113,90804736.00109084,90816704.00110029,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
