,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.48750663538655115,0.5124933646134483,10.0,sbm,False,[10],[[0.5]],0.5,10.0,23.0,11.0,12.0,pyr,1000.0,,1.7068428993225098,43308.0,9439.0,33869.0,2548891259.0,1.732381820678711,2024-11-10 17:33:41.320942
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,3,0.19168302789204797,0.8083169721079525,-0.6166339442159046,0.2371384425990356,4.2169459706322066,16.092444362954044,3.08464846167535,13.007795901278701,False,False,False,4883,820,4063,,,,,,,,,,,,,,,,,,,,,,
4,4,0.7079810953470704,0.2920189046529294,0.415962190694141,2.4244358295519284,0.4124670935030748,36.45756110182483,25.81126404255269,10.646297059272133,False,False,False,3615,2671,944,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4477553320415047,0.5522446679584949,-0.10448933591699022,0.8107915893452441,1.2333625720113246,85.69432684624991,38.37009177111586,47.32423507513402,False,False,False,2773,1196,1577,,,,,,,,,,,,,,,,,,,,,,
6,6,0.43672048425419413,0.5632795157458058,-0.12655903149161163,0.7753175324970905,1.289794127032401,155.61221797062035,67.95904318799853,87.6531747826218,False,False,False,1562,680,882,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5919354654055266,0.40806453459447256,0.18387093081105396,1.4505927744830402,0.6893733497027643,260.15034732910146,153.99221692166105,106.15813040744018,False,False,False,803,482,321,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4048313568749842,0.5951686431250155,-0.19033728625003127,0.680196044518342,1.4701643857810383,302.0274595911358,122.27018627978399,179.75727331135175,False,False,False,293,110,183,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5783165801607322,0.4216834198392677,0.15663316032146446,1.3714472823739858,0.7291567184915722,198.85048735979098,114.99853381320922,83.85195354658174,False,False,False,60,36,24,,,,,,,,,,,,,,,,,,,,,,
10,10,0.37400319314582203,0.6259968068541782,-0.2519936137083562,0.5974522378561327,1.6737739632348678,107.68504412002947,40.27455035493975,67.41049376508975,False,False,False,11,4,7,,,,,,,,,,,,,,,,,,,,,,
