,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.7268023078517276,0.27319769214827266,2.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,62.0,29.0,33.0,pyr,1000.0,,2.180955171585083,65968.0,14246.0,51722.0,1535995910.0,2.241719961166382,2024-11-10 17:30:14.455613
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,3,0.4723065051292242,0.5276934948707751,-0.05538698974155095,0.8950394684036905,1.117269165552562,44.06796642255462,20.81358720918877,23.254379213365816,False,False,False,7525,3800,3725,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5274748895912968,0.4725251104087034,0.05494977918259343,1.1162896488930831,0.8958248434818004,172.71881399651232,91.10483734315007,81.61397665336229,False,False,False,7525,4058,3467,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4933848211957995,0.5066151788042009,-0.01323035760840142,0.973884798241478,1.026815493789078,711.6994557197182,351.141708705421,360.55774701429755,False,False,False,7034,3576,3458,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5102313115281312,0.48976868847186933,0.02046262305626185,1.0417801781492144,0.9598953992161383,2822.2288116269838,1439.989507988915,1382.2393036380702,False,False,False,6191,3195,2996,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5062947686503804,0.49370523134961936,0.012589537300761003,1.0255001091771816,0.9751339771210343,10870.90614388909,5503.882911140325,5367.023232748761,False,False,False,5030,2544,2486,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5199532541374514,0.48004674586254786,0.03990650827490356,1.0831304630618828,0.9232498153298332,38291.136354026516,19909.600951896955,18381.535402129535,False,False,False,3674,1908,1766,,,,,,,,,,,,,,,,,,,,,,
9,9,0.4908675188920548,0.5091324811079466,-0.01826496221589177,0.9641253251488796,1.0372095555581227,135380.41386132504,66453.84785868817,68926.56600263706,False,False,False,2625,1272,1353,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5106428848902231,0.4893571151097776,0.021285769780445506,1.043497415533992,0.9583157419592334,408005.2785699321,208344.99249938925,199660.28607054314,False,False,False,1610,826,784,,,,,,,,,,,,,,,,,,,,,,
11,11,0.49465975894488906,0.5053402410551104,-0.010680482110221358,0.978864770223085,1.021591572625602,1224872.2567442842,605895.0152594099,618977.2414848737,False,False,False,973,492,481,,,,,,,,,,,,,,,,,,,,,,
12,12,0.4689798386909965,0.5310201613090034,-0.062040322618006835,0.8831676701971675,1.132287824549499,2965293.9065490263,1390663.0579647573,1574630.8485842687,False,False,False,483,239,244,,,,,,,,,,,,,,,,,,,,,,
13,13,0.4561432040149529,0.5438567959850458,-0.08771359197009283,0.838719323510109,1.1922939796056184,6288338.930711515,2868383.0677867136,3419955.8629247933,False,False,False,213,99,114,,,,,,,,,,,,,,,,,,,,,,
14,14,0.4689569241855729,0.5310430758144276,-0.06208615162885472,0.8830864115238918,1.1323920139076278,11363535.52532327,5329008.667829089,6034526.857494187,False,False,False,83,39,44,,,,,,,,,,,,,,,,,,,,,,
15,15,0.6792596880760704,0.3207403119239309,0.35851937615213947,2.1177870782802275,0.47219100081206516,12831054.167980444,8715617.851829559,4115436.316150901,False,False,False,22,17,5,,,,,,,,,,,,,,,,,,,,,,
16,16,0.7578847894648193,0.24211521053518137,0.5157695789296379,3.130265082435588,0.31946176239551016,25600693.503577754,19402376.206112392,6198317.2974653775,False,False,False,11,5,6,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
18,18,1.0,0.0,1.0,,0.0,20594830.93545431,20594830.93545431,0.0,False,False,True,1,1,0,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
