,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5891637531845885,0.41083624681541164,3.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,74.0,32.0,42.0,pyr,1000.0,,2.4568240642547607,71313.0,15817.0,55496.0,1779285243.0,2.526064872741699,2024-11-10 17:30:14.429674
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5408258615348834,0.45917413846511707,0.08165172306976638,1.1778230005346204,0.8490240040703012,66.18973873457219,35.79712247589385,30.392616258678373,False,False,False,8437,4569,3868,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5055435927443773,0.49445640725562245,0.011087185488754822,1.0224229787015846,0.9780687844769879,362.6261739209854,183.32333878716238,179.30283513382295,False,False,False,9992,5125,4867,,,,,,,,,,,,,,,,,,,,,,
5,5,0.49284384700710576,0.5071561529928958,-0.014312305985790042,0.9717792914444034,1.029040244841656,1797.1761456508655,885.7272053719752,911.4489402788931,False,False,False,9458,4684,4774,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5106273369357106,0.48937266306428945,0.021254673871421142,1.0434324911782595,0.9583753701888131,8791.437464969853,4489.14830057439,4302.289164395463,False,False,False,8320,4237,4083,,,,,,,,,,,,,,,,,,,,,,
7,7,0.49742965354498503,0.5025703464550152,-0.005140692910030112,0.9897711973133889,1.0103345123745526,39332.459846050406,19565.13187429289,19767.327971757524,False,False,False,6581,3328,3253,,,,,,,,,,,,,,,,,,,,,,
8,8,0.494052126862877,0.5059478731371212,-0.011895746274244175,0.9764881978839346,1.024077917344025,166768.52121548814,82392.34260028874,84376.1786151991,False,False,False,4843,2383,2460,,,,,,,,,,,,,,,,,,,,,,
9,9,0.48616580936920184,0.5138341906308005,-0.027668381261598655,0.946153094196336,1.056911409087978,653619.7864175627,317767.5924834192,335852.19393414503,False,False,False,3269,1616,1653,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5179979832613585,0.48200201673864196,0.035995966522716596,1.0746801160009147,0.9305094465888014,2411928.934464981,1249374.3238225775,1162554.6106424045,False,False,False,2031,1040,991,,,,,,,,,,,,,,,,,,,,,,
11,11,0.4826222417517415,0.5173777582482577,-0.03475551649651619,0.9328237135392295,1.0720139137607219,7237185.52618826,3492826.702622235,3744358.823566019,False,False,False,1083,528,555,,,,,,,,,,,,,,,,,,,,,,
12,12,0.5344188698848037,0.46558113011519575,0.06883773976960798,1.1478533714469397,0.8711914124880241,22901518.186496295,12239003.46787363,10662514.718622653,False,False,False,588,301,287,,,,,,,,,,,,,,,,,,,,,,
13,13,0.4040836182358801,0.5959163817641213,-0.1918327635282412,0.6780877831209322,1.474735314353329,58691836.32105451,23716409.581519753,34975426.73953484,False,False,False,257,119,138,,,,,,,,,,,,,,,,,,,,,,
14,14,0.5827803116557494,0.41721968834425077,0.1655606233114986,1.3968188173682097,0.7159124630667072,116264388.53302254,67756596.58374001,48507791.94928255,False,False,False,94,53,41,,,,,,,,,,,,,,,,,,,,,,
15,15,0.5428279633154077,0.45717203668459294,0.08565592663081484,1.187360380245456,0.8422042849309794,278058189.0331502,150937760.43603557,127120428.59711482,False,False,False,34,17,17,,,,,,,,,,,,,,,,,,,,,,
16,16,0.4559964270303384,0.544003572969663,-0.08800714593932453,0.8382232207430146,1.1929996393008344,373406362.9397871,170271967.33093667,203134395.6088509,False,False,False,9,4,5,,,,,,,,,,,,,,,,,,,,,,
17,17,0.0,1.0,-1.0,0.0,,840309989.9399704,0.0,840309989.9399704,False,True,False,3,0,3,,,,,,,,,,,,,,,,,,,,,,
18,18,1.0,0.0,1.0,,0.0,1391256884.7585464,1391256884.7585464,0.0,False,False,True,1,1,0,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
