,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5849292810126311,0.4150707189873684,8.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,61.0,24.0,37.0,pyr,1000.0,,1.8952839374542236,65466.0,14256.0,51210.0,2640136520.0,1.9714691638946533,2024-11-10 17:30:14.628854
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,3,0.566872083950785,0.4331279160492147,0.13374416790157032,1.308786764708035,0.7640664063584727,39.787334807944816,22.554329397427285,17.23300541051752,False,False,False,6625,3637,2988,,,,,,,,,,,,,,,,,,,,,,
4,4,0.47650112511524817,0.5234988748847521,-0.04699774976950398,0.9102237807486205,1.098630931371121,171.61875062070888,81.77652776164098,89.84222285906796,False,False,False,8059,3708,4351,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4986738108396091,0.5013261891603922,-0.002652378320783133,0.9947092763591201,1.0053188642818787,655.4798080408534,326.8706138041478,328.60919423670646,False,False,False,6850,3454,3396,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4884063538900962,0.511593646109904,-0.023187292219807868,0.9546763483164398,1.0474754106598407,2654.6458908907716,1296.5459204392878,1358.0999704514843,False,False,False,6153,2990,3163,,,,,,,,,,,,,,,,,,,,,,
7,7,0.502002698431594,0.4979973015684057,0.004005396863188227,1.008043009170077,0.9920211646756038,10234.351243545318,5137.6719409564885,5096.6793025888255,False,False,False,4979,2540,2439,,,,,,,,,,,,,,,,,,,,,,
8,8,0.501176810272165,0.49882318972783546,0.002353620544329506,1.0047183462854117,0.9953038119560014,35261.26069114129,17672.126159361465,17589.134531779837,False,False,False,3712,1861,1851,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5056964993133509,0.49430350068665085,0.01139299862670009,1.0230485898054005,0.977470679266774,112618.4414348027,56950.75159170536,55667.68984309755,False,False,False,2555,1272,1283,,,,,,,,,,,,,,,,,,,,,,
10,10,0.506147869936592,0.49385213006340895,0.012295739873183031,1.0248976143357007,0.9757072179821217,327762.0444650846,165896.06065206512,161865.9838130198,False,False,False,1558,791,767,,,,,,,,,,,,,,,,,,,,,,
11,11,0.49051954412342136,0.50948045587658,-0.018960911753158633,0.9627838290272869,1.0386547528642158,860874.8926881863,422275.9599087084,438598.932779479,False,False,False,825,398,427,,,,,,,,,,,,,,,,,,,,,,
12,12,0.4969590843532427,0.5030409156467569,-0.006081831293514169,0.9879098675587953,1.0122380926015855,1900514.8610382276,944478.1251412879,956036.735896939,False,False,False,394,194,200,,,,,,,,,,,,,,,,,,,,,,
13,13,0.47202260389906797,0.5279773961009323,-0.05595479220186427,0.8940204777418775,1.118542611603043,3989695.780992604,1883226.5913092545,2106469.1896833503,False,False,False,186,89,97,,,,,,,,,,,,,,,,,,,,,,
14,14,0.4293394815946346,0.5706605184053662,-0.14132103681073166,0.752355328163171,1.3291591918959864,7001165.73639715,3005876.8678228706,3995288.8685742854,False,False,False,73,31,42,,,,,,,,,,,,,,,,,,,,,,
15,15,0.4664793052199183,0.533520694780081,-0.06704138956016266,0.8743415387330058,1.1437178215838675,14222812.912078928,6634647.885499462,7588165.026579456,False,False,False,24,11,13,,,,,,,,,,,,,,,,,,,,,,
16,16,0.5971139258835824,0.4028860741164161,0.1942278517671663,1.4820912517096412,0.6747222877447437,12665091.779946746,7562502.67439989,5102589.105546837,False,False,False,6,4,2,,,,,,,,,,,,,,,,,,,,,,
17,17,1.0,0.0,1.0,,0.0,8088953.510761255,8088953.510761255,0.0,False,False,True,1,1,0,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
