,Unnamed: 0,l,pos_k_bal,neg_k_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,avg_pos_k_balance,avg_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,prob_p,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5097372494020636,0.4902627505979363,0.5468786453012241,0.4531213546987758,0.5370449368902932,0.4629550631097066,0.5263672098124192,0.4736327901875803,0.5144941146333447,0.4855058853666552,0.5007434343799655,0.499256565620034,0.4137956564080424,0.5862043435919576,0.0,er,False,0.5,False,0.9,11.0,27.0,3.0,24.0,pyr,100.0,,0.264394998550415,40639.0,9945.0,30694.0,130250193.0,0.907175064086914,2024-12-07 13:43:27.641102
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.2417820759588753,0.7582179240411244,-0.5164358480822491,0.3188820368031309,3.135955885208338,17.563192389006343,4.246465116279072,13.316727272727263,False,False,False,463,127,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.7167840604970422,0.2832159395029577,0.4335681209940844,2.530874716144133,0.3951203090461669,52.776775016611246,37.82955109634546,14.947223920265785,False,False,False,459,310,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.3123272237705503,0.6876727762294496,-0.3753455524588991,0.4541800032903134,2.201770207308745,144.49459825490302,45.12959672279487,99.36500153210814,False,False,False,358,117,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.6005309478628735,0.3994690521371263,0.2010618957257472,1.5033228347730136,0.6651931154567939,334.7600884741818,201.0337932380598,133.72629523612196,False,False,False,243,142,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4438142146365356,0.5561857853634639,-0.1123715707269282,0.7979603692073969,1.2531950690650042,524.166838663098,232.6326938397785,291.53414482331925,False,False,False,107,50,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4607992822361316,0.5392007177638677,-0.078401435527736,0.8545969377546889,1.1701422692050985,984.5038729994455,453.65867803683625,530.8451949626087,False,False,False,54,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.7226834348065573,0.2773165651934429,0.4453668696131143,2.605987256125315,0.3837317307095506,741.3552154596847,535.7651335201602,205.5900819395245,False,False,False,13,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5791767554479424,0.4208232445520581,0.1583535108958843,1.3762945914844662,0.7265886287625412,642.6629660581119,372.2154515280884,270.44751453002385,False,False,False,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
