,l,pos_k_bal,neg_k_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,avg_pos_k_balance,avg_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.48040660837109644,0.5195933916289037,0.4766204173453561,0.5233795826546445,0.47917549505808377,0.5208245049419167,0.48166317311929,0.5183368268807104,0.4839515738383552,0.516048426161645,0.48580773338252187,0.5141922666174784,0.4750636639955205,0.5249363360044796,0.0,complete,False,False,0.7,9.0,36.0,10.0,26.0,pyr,1000.0,,5.293787002563477,53608.0,10785.0,42823.0,130250193.0,8.754369974136353,2024-12-09 09:08:44.296905
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.42511767222933655,0.5748823277706637,-0.1497646555413272,0.739486416077357,1.352289884247706,84.13200000000215,35.76599999999946,48.36600000000272,False,False,False,9348,3974,5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4941972920696321,0.505802707930368,-0.011605415860735862,0.9770554493307823,1.0234833659491211,376.8930000000331,186.2595000000162,190.6335000000169,False,False,False,8272,4088,4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5221674876847301,0.4778325123152694,0.044334975369460704,1.0927835051546448,0.9150943396226368,1491.7089600000995,778.9219200000535,712.7870400000453,False,False,False,5684,2968,2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4822351421188626,0.517764857881138,-0.03552971576227546,0.9313786650031163,1.0736771600803783,5078.214000000065,2448.893250000029,2629.3207500000394,False,False,False,3096,1493,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5016286644951139,0.4983713355048861,0.003257328990227774,1.0065359477124178,0.993506493506494,13318.562204081834,6680.972571428671,6637.589632653163,False,False,False,1228,616,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5,0.5,0.0,1.0,1.0,24213.780562500117,12106.890281250058,12106.890281250058,False,False,False,324,162,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.43749999999999994,0.5625000000000013,-0.12500000000000142,0.7777777777777758,1.285714285714289,25509.168000000038,11160.261000000015,14348.907000000056,False,False,False,48,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
