,l,pos_k_bal,neg_k_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,avg_pos_k_balance,avg_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.4767156213214911,0.5232843786785091,0.3571440435848324,0.6428559564151689,0.3588175899558356,0.6411824100441659,0.3606309969294596,0.6393690030705417,0.36259848189033156,0.6374015181096695,0.3647358671977353,0.6352641328022659,0.4971921071067428,0.5028078928932571,0.0,complete,False,False,0.9,18.0,153.0,14.0,139.0,pyr,1000.0,,8.988330841064453,100307.0,17965.0,82342.0,130250193.0,9.718490839004517,2024-12-09 09:08:44.300868
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.23411180014954844,0.7658881998504515,-0.5317763997009031,0.305673595957297,3.2714634604544033,818.5319999998986,191.62799999998646,626.9039999999121,False,False,False,22737,5323,17414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.7139367193348733,0.2860632806651264,0.427873438669747,2.495730027548092,0.4006843644792948,9250.645499998329,6604.375499998716,2646.2699999996103,False,False,False,25379,18119,7260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.3229009808310579,0.6770990191689437,-0.3541980383378858,0.476888862174663,2.0969246281825407,103174.61183999445,33315.183359997885,69859.42847999673,False,False,False,24571,7934,16637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.6428571428571627,0.35714285714283467,0.285714285714328,1.8000000000001688,0.5555555555555035,1110331.1520001544,713784.3120001212,396546.8400000302,False,False,False,21154,13599,7555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.3803543259313163,0.6196456740686827,-0.23929134813736638,0.6138255164985742,1.6291274525442816,11440601.550368354,4351482.290939127,7089119.2594292145,False,False,False,16482,6269,10213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5900017358097789,0.40999826419022095,0.180003471619558,1.4390347163422244,0.6949102677257335,110218737.63601373,65029246.52401071,45189491.112003006,False,False,False,11522,6798,4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.4334584897788904,0.5665415102211114,-0.1330830204422211,0.7650957290132526,1.307025986525509,978327611.1360471,424064408.8320205,554263202.3040284,False,False,False,7191,3117,4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5542043984476008,0.44579560155240033,0.1084087968952005,1.2431804991293924,0.8043884220355021,7666586572.723065,4248855999.6824403,3417730573.040634,False,False,False,3865,2142,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,0.44842801985658926,0.5515719801434112,-0.10314396028682196,0.8129999999999926,1.2300123001230123,53497992412.14255,23989998803.67992,29507993608.462654,False,False,False,1813,813,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,0.545229244114003,0.4547707558859963,0.09045848822800663,1.1989100817438734,0.8340909090909061,360170881485.6988,196375697464.3217,163795184021.37683,False,False,False,807,440,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,0.4192546583850922,0.5807453416149061,-0.16149068322981397,0.7219251336898387,1.3851851851851869,2204140265202.535,924096073920.3153,1280044191282.216,False,False,False,322,135,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,0.6194690265486743,0.3805309734513278,0.2389380530973465,1.6279069767441892,0.6142857142857131,12005076682759.428,7436773166311.171,4568303516448.282,False,False,False,113,70,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,0.46874999999999917,0.5312499999999986,-0.06249999999999939,0.8823529411764715,1.1333333333333322,53306790056118.336,24987557838805.426,28319232217312.79,False,False,False,32,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,0.4444444444444456,0.5555555555555567,-0.11111111111111112,0.8000000000000004,1.2499999999999993,237186584173035.4,105416259632460.45,131770324540575.5,False,False,False,9,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,0.33333333333333376,0.6666666666666675,-0.33333333333333376,0.5,2.0,1260617969860843.8,420205989953615.1,840411979907230.2,False,False,False,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
