,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5027969012980225,0.4972030987019779,0.0,sbm,False,"[10, 20]","[[0.4, 0.3], [0.3, 0.4]]",0.5,30.0,158.0,81.0,77.0,pyr,1000.0,,2.7525479793548584,112376.0,26539.0,85837.0,130250193.0,2.867905855178833,2024-11-10 23:13:09.111617
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4856214379147854,0.5143785620852145,-0.028757124170429,0.9440934628887878,1.0592171636695231,198.33659058246084,96.31650030977072,102.0200902726901,False,False,False,13540,6528,7012,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5027933785504713,0.4972066214495295,0.0055867571009418,1.0112362886171036,0.9888885626993572,1493.3722395758216,750.8576737698112,742.5145658060115,False,False,False,15574,7815,7759,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4815836493515879,0.518416350648413,-0.036832701296825,0.9289515053860544,1.076482458128338,11885.31048698534,5723.771197999099,6161.539288986252,False,False,False,17049,8229,8820,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4982329454419738,0.5017670545580243,-0.0035341091160505,0.9929566736517536,1.007093286681224,91171.67450106898,45424.73192754449,45746.94257352431,False,False,False,16768,8402,8366,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5064134077968482,0.4935865922031514,0.0128268155936967,1.025986961145852,0.9746712559418602,705268.476909784,357157.41280357644,348111.0641062073,False,False,False,15716,7894,7822,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5023358136622276,0.4976641863377721,0.0046716273244554,1.0093871077178231,0.9907001905948184,5163764.890590563,2593944.037875254,2569820.8527153074,False,False,False,13665,6859,6806,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4995040850688743,0.500495914931126,-0.0009918298622516,0.998018305779003,1.0019856291307705,36616493.16754755,18290087.918086525,18326405.249461032,False,False,False,11262,5639,5623,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4968033016080611,0.5031966983919374,-0.0063933967838762,0.9872944381306404,1.0128690706426104,243039558.4131424,120742855.0410144,122296703.37212768,False,False,False,8479,4225,4254,,,,,,,,,,,,,,,,,,,,,,
11,11,11,0.5050776102014258,0.494922389798573,0.0101552204028527,1.0205188138830934,0.9798937426689676,1574946372.7421744,795470150.1400214,779476222.6021512,False,False,False,6215,3148,3067,,,,,,,,,,,,,,,,,,,,,,
12,12,12,0.4990818691842054,0.5009181308157922,-0.0018362616315866,0.9963342080898606,1.0036792793827358,10285649677.91389,5133381267.027185,5152268410.886681,False,False,False,4444,2201,2243,,,,,,,,,,,,,,,,,,,,,,
13,13,13,0.4825573476660739,0.5174426523339287,-0.0348853046678547,0.9325813121309108,1.072292557219531,55351351793.48516,26710201511.195984,28641150282.28932,False,False,False,2777,1356,1421,,,,,,,,,,,,,,,,,,,,,,
14,14,14,0.4968928151718549,0.5031071848281429,-0.0062143696562879,0.987648020454308,1.0125064590723427,312438410017.4199,155248401121.37405,157190008896.04517,False,False,False,1687,842,845,,,,,,,,,,,,,,,,,,,,,,
15,15,15,0.4814166827248516,0.5185833172751484,-0.0371666345502967,0.9283304469847088,1.0772026310761211,1514393658488.758,729054371409.2097,785339287079.5483,False,False,False,916,445,471,,,,,,,,,,,,,,,,,,,,,,
16,16,16,0.5408678715475115,0.4591321284524865,0.0817357430950249,1.17802226860167,0.8488803876237543,7625801536341.447,4124551045804.7417,3501250490536.6904,False,False,False,491,256,235,,,,,,,,,,,,,,,,,,,,,,
17,17,17,0.5056599257955937,0.4943400742044083,0.0113198515911853,1.0228989155075148,0.9776137063395424,34835977971629.785,17615158036151.254,17220819935478.602,False,False,False,255,123,132,,,,,,,,,,,,,,,,,,,,,,
