,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5009671179884535,0.4990328820115466,0.0,er,False,0.5,0.5,10.0,21.0,8.0,13.0,cx,1.0,10.0,True,False,100.0,100.0,1.0002479553222656,46534.0,16871.0,29663.0,130250193.0,1.0334768295288086,2024-11-10 23:11:58.570337
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.30000000000000016,0.6999999999999998,-0.3999999999999997,0.4285714285714289,2.3333333333333317,9.999999999999995,3.0,6.999999999999995,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.7894736842105257,0.21052631578947437,0.5789473684210513,3.749999999999985,0.2666666666666677,18.99999999999994,14.99999999999994,4.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.2291666666666694,0.7708333333333305,-0.5416666666666612,0.2972972972973019,3.363636363636311,48.00000000000043,11.000000000000231,37.0000000000002,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.7045454545454485,0.29545454545455146,0.40909090909089696,2.3846153846153157,0.41935483870968954,87.99999999999272,61.999999999994344,25.99999999999838,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.3482142857142802,0.6517857142857197,-0.30357142857143965,0.5342465753424528,1.871794871794917,112.00000000002642,39.00000000000858,73.00000000001783,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.7565217391303923,0.2434782608696076,0.5130434782607848,3.1071428571421422,0.32183908045984416,114.99999999995657,86.99999999996227,27.9999999999943,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.15555555555636066,0.8444444444436393,-0.6888888888872787,0.1842105263169185,5.428571428538157,90.00000000028605,14.000000000116955,76.0000000001691,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.8000000000158715,0.1999999999841285,0.6000000000317429,4.000000000396787,0.2499999999752008,34.99999999840797,27.99999999928188,6.999999999126093,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
