,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4965211891207848,0.5034788108792152,2.0,er,False,0.5,0.5,10.0,26.0,14.0,12.0,cx,20.0,10.0,False,False,100.0,100.0,27.299962759017944,69230.0,38016.0,31214.0,1535995910.0,27.367077112197876,2024-11-10 23:12:15.855157
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.6363636363636366,0.3636363636363635,0.2727272727272726,1.75,0.5714285714285713,21.999999999999996,13.999999999999996,7.999999999999998,False,False,False,2.1784148785229479e-16,1.2839766479167266e-16,1.442222014787673e-16,4.002966042486721e-16,1.3136335981433191e-16,3.1776437161565094e-15,1.4321446692197793e-15,1.3173814904902171e-15,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4925373134328358,0.5074626865671643,-0.014925373134328488,0.9705882352941171,1.0303030303030305,66.99999999999997,32.999999999999986,33.99999999999999,False,False,False,1.8285005833896365e-16,1.9389211565826715e-16,3.7407955288075983e-16,7.631521572941402e-16,7.627482662061554e-16,3.256115871121665e-14,2.258140139882514e-14,1.8664430764038823e-14,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4311377245508982,0.5688622754491018,-0.1377245508982036,0.7578947368421052,1.3194444444444444,166.99999999999997,72.0,95.0,False,False,False,1.334751750609816e-15,1.3444704565754073e-15,2.684862408327326e-15,4.137498995876393e-15,7.191640501203643e-15,7.316037298009279e-13,5.221788185312853e-13,2.4687653721263095e-13,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4789915966386521,0.5210084033613479,-0.04201680672269589,0.9193548387096648,1.0877192982456285,356.999999999998,170.9999999999978,186.00000000000017,False,False,False,6.56988018277537e-15,6.5479632553891445e-15,1.3134288217445389e-14,2.4186699739761123e-14,2.860534382703912e-14,1.0838536070397524e-11,7.0675768284706825e-12,4.281851030910633e-12,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.4976303317535521,0.5023696682464479,-0.004739336492895839,0.9905660377358396,1.0095238095238193,632.9999999999801,314.9999999999885,317.9999999999915,False,False,False,1.7364319340503426e-14,1.7362855226271095e-14,3.473442027349031e-14,6.876824836205349e-14,7.00870174725319e-14,8.532675460319882e-11,4.723392936435365e-11,4.059391877745213e-11,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4994192799070748,0.5005807200929252,-0.0011614401858502839,0.9976798143851114,1.0023255813953889,861.0000000002638,430.0000000001231,431.00000000014063,False,False,False,9.188806823463857e-14,9.189748276941883e-14,1.8379565662647583e-13,3.6673522451811785e-13,3.6845716370764457e-13,5.244766470132968e-10,2.8244735317460145e-10,2.650867357339032e-10,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5026455026454715,0.4973544973545284,0.005291005290943065,1.0106382978722146,0.9894736842106495,755.9999999986248,379.99999999928525,375.99999999933954,False,False,False,2.57973823906344e-13,2.57973659065795e-13,5.159330071432512e-13,1.0428916499680725e-12,1.021053528668213e-12,2.7083009890733674e-09,1.3298136621656785e-09,1.4049638524544937e-09,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5183946488292424,0.4816053511707576,0.03678929765848486,1.0763888888880744,0.9290322580652195,299.0000000009356,155.00000000042846,144.00000000050707,False,False,False,1.5521636879961816e-12,1.5521684744622732e-12,3.1043211338726657e-12,6.6920177522473365e-12,5.775864724399532e-12,1.2437387861859885e-08,6.165300566096289e-09,6.2929303898506476e-09,,,,,,,,,,,,,,,,,,,,,,,,,
