,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000038961075874,0.4999961038924125,0.0,complete,False,0.5,16.0,120.0,58.0,62.0,cx,1.0,10.0,True,False,256.0,256.0,51.64622712135315,86568.0,18908.0,67660.0,130250193.0,51.7549831867218,2024-11-10 23:25:00.588079
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,60.0,60.0,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5142857142857142,0.4857142857142857,0.028571428571428564,1.0588235294117647,0.9444444444444444,559.9999999999999,287.99999999999994,271.99999999999994,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4945054945054945,0.5054945054945055,-0.01098901098901092,0.9782608695652174,1.0222222222222221,5460.0,2700.0,2760.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5001526251526253,0.4998473748473748,0.00030525030525047124,1.000610687022901,0.9993896856881291,52415.999999999985,26215.999999999996,26199.99999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5001165501165489,0.4998834498834511,0.000233100233097666,1.00046630916297,0.9995339081799165,480479.9999999253,240295.99999996205,240183.99999996327,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5000038850038874,0.49999611499611263,7.77000777479063e-06,1.0000155401362965,0.9999844601051956,4118400.000000014,2059216.0000000168,2059183.9999999972,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5000185000184874,0.4999814999815126,3.700003697484391e-05,1.0000740028120565,0.9999260026639546,32432399.999970224,16216799.999984702,16215599.999985522,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5000172050172127,0.4999827949827873,3.441003442547826e-05,1.0000688224370333,0.9999311822991686,230630399.99984288,115319167.99992321,115311231.99991967,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5000014095251992,0.49999859047480083,2.8190503983743044e-06,1.0000056381166909,0.9999943619150974,1452971520.0232534,726487808.0115979,726483712.0116556,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
