,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000052468343441,0.49999475316565595,0.0,complete,False,0.5,15.0,105.0,51.0,54.0,cx,1.0,10.0,True,False,225.0,225.0,23.789903163909912,81724.0,18763.0,62961.0,130250193.0,23.87650203704834,2024-11-10 23:25:23.312418
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,52.5,52.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5032967032967033,0.4967032967032967,0.006593406593406588,1.0132743362831858,0.9868995633187773,454.99999999999994,228.99999999999997,225.99999999999997,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4930402930402931,0.5069597069597069,-0.013919413919413846,0.9725433526011562,1.0282317979197622,4095.0,2019.0000000000002,2076.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4996114996114998,0.5003885003885001,-0.0007770007770004727,0.9984472049689449,1.001555209953343,36035.99999999999,18004.000000000004,18031.99999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.500099900099899,0.4999000999001009,0.00019980019979819354,1.000399680255791,0.9996004794246945,300299.9999999523,150179.99999997584,150119.99999997648,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.500060433393769,0.49993956660623096,0.00012086678753807949,1.0002417627961686,0.9997582956389535,2316600.000000021,1158440.0000000158,1158160.0000000051,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.499941046607702,0.500058953392298,-0.00011790678459595775,0.9997642142315498,1.0002358413764905,16216199.999978611,8107143.999989124,8109055.999989487,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.4999812885527234,0.5000187114472766,-3.742289455319664e-05,0.9999251570117347,1.0000748485901574,100900799.9998178,50448511.999909535,50452287.99990827,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.500011334931949,0.49998866506805095,2.2669863898005398e-05,1.0000453407556649,0.999954661300026,544864320.0062983,272438336.0031379,272425984.0031604,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
