,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000026749189858,0.49999732508101413,0.0,complete,False,0.5,20.0,190.0,94.0,96.0,cx,1.0,10.0,True,False,400.0,400.0,309.2301549911499,107485.0,19508.0,87977.0,130250193.0,309.31207394599915,2024-11-10 23:30:00.868856
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,95.0,95.0,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.49473684210526314,0.5052631578947369,-0.01052631578947368,0.9791666666666666,1.0212765957446808,1139.9999999999998,563.9999999999999,575.9999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4994152046783626,0.5005847953216375,-0.0011695906432748293,0.9976635514018691,1.0023419203747073,14535.0,7259.0,7276.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4996130030959752,0.5003869969040248,-0.0007739938080494605,0.9984532095901005,1.0015491866769946,186047.99999999997,92951.99999999999,93095.99999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4996938424492613,0.5003061575507387,-0.000612315101477395,0.9987761191977429,1.0012253805219533,2325599.9999999995,1162088.0000000019,1163511.9999999977,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5000659328058725,0.4999340671941274,0.00013186561174510065,1.0002637660051559,0.9997363035490036,27907200.000000037,13955440.000000065,13951759.999999972,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4999895414755959,0.5000104585244041,-2.0917048808301384e-05,0.9999581667774111,1.0000418349726807,317444399.9999988,158718879.99999505,158725520.00000376,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.500004441722708,0.499995558277292,8.883445416005297e-06,1.0000177670486647,0.9999822332669978,3386073600.0167403,1693051840.0083704,1693021760.00837,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5000025907662378,0.49999740923376224,5.181532475531424e-06,1.0000103631186479,0.9999896369887452,33522128639.810276,16761151167.904236,16760977471.90604,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
