,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000191224809151,0.499980877519085,0.0,complete,False,0.5,11.0,55.0,28.0,27.0,cx,1.0,10.0,True,False,121.0,121.0,3.047567129135132,62371.0,18171.0,44200.0,130250193.0,3.1088309288024902,2024-11-10 23:25:00.588996
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,27.5,27.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5333333333333333,0.4666666666666667,0.06666666666666665,1.1428571428571428,0.875,164.99999999999997,87.99999999999999,76.99999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4828282828282829,0.5171717171717171,-0.03434343434343426,0.9335937500000002,1.0711297071129704,990.0,478.00000000000006,511.99999999999994,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.49639249639249633,0.5036075036075037,-0.007215007215007441,0.9856733524355298,1.0145348837209305,5543.999999999992,2751.9999999999955,2791.9999999999964,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5036075036075012,0.4963924963924988,0.007215007215002361,1.0145348837209203,0.9856733524355398,27720.000000000196,13960.000000000031,13760.000000000166,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5007407407407419,0.4992592592592581,0.0014814814814837886,1.0029673590504498,0.9970414201183386,118800.00000002296,59488.000000011634,59312.00000001133,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4992977392977284,0.5007022607022715,-0.0014045214045431858,0.9971948970180938,1.0028129937189754,415799.99999995297,207607.999999972,208191.99999998097,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5000288600288674,0.4999711399711326,5.7720057734611684e-05,1.0001154467790643,0.9998845665473561,1108799.9999968202,554431.9999984181,554367.9999984021,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5000801667468228,0.4999198332531772,0.00016033349364560519,1.0003207184091942,0.9996793844181251,1995840.0000259145,998080.0000129382,997760.0000129764,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
