,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5171699772951747,0.48283002270482533,8.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,61.0,24.0,37.0,cx,20.0,10.0,False,False,400.0,400.0,10.693817138671875,88152.0,37312.0,50840.0,2640136520.0,10.771785020828247,2024-11-10 18:15:02.253395
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.6493841575091579,0.35061584249084227,0.2987683150183155,1.6077777777777797,115806847560955.92,5.1,3.1500000000000012,1.9499999999999986,False,False,False,0.28692151832544227,0.2869215183254424,0.5738430366508847,1.0729134214262324,352741228122690.0,3.9736632972611035,2.920188350089766,1.4654350889752836,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4494967532467502,0.55050324675325,-0.10100649350649951,88886834750734.08,-24353320869008.598,7.349999999999989,3.749999999999983,3.600000000000005,False,False,False,0.28492185686394395,0.28492185686394395,0.5698437137278879,377114901662708.94,66064960469108.99,6.894019147057838,4.5373450386762535,2.7276363393971756,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.48558926898504085,0.5144107310149592,-0.02882146202991821,-3311470314241.4707,-2139348293507.2507,10.849999999999834,5.249999999999842,5.599999999999993,False,False,False,0.25080683186933045,0.2508068318693304,0.5016136637386609,14434364454319.445,6439540874529.774,11.971946374754586,6.07350804724909,6.191930232165095,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.7021360011753138,0.2978639988246861,0.4042720023506279,27712537697819.523,0.7308373941775395,16.499999999999588,7.949999999999865,8.549999999999724,False,False,False,0.41271261351398636,0.4127126135139864,0.8254252270279728,122800476593075.4,0.6386894773237497,21.45576845512626,9.415280133909679,12.159255733802231,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5872675033490726,0.4127324966509275,0.17453500669814487,-0.3815054304977414,192855078668.85004,20.24999999999948,9.69999999999979,10.549999999999695,False,False,False,0.4035759498136248,0.4035759498136249,0.8071518996272498,4.2009670516632625,994292185733.5653,31.71888238888281,14.163685960934961,17.71574158763567,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5286678131036409,0.47133218689635903,0.05733562620728172,-376975415235.6406,75918627957.43106,17.800000000005827,8.349999999997944,9.45000000000788,False,False,False,0.36194799856723253,0.36194799856723253,0.7238959971344651,1643197739219.7014,383717396943.86017,31.50333315702182,13.550922477837442,18.51614160674488,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1.5998477038586425,-0.5998477038586423,2.1996954077172846,-3321361133.449891,5351145488.296285,9.399999999933652,3.9499999999832864,5.449999999950366,False,False,False,5.011464903011035,5.011464903011035,10.02292980602207,14477477530.297384,28372502937.505337,17.870086737186345,7.378854924662362,10.669934395185802,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.6518864748180125,0.34811352518198746,0.3037729496360251,4.643965629567599,0.8887272362469394,1.5000000003006075,0.7500000001085333,0.7500000001920741,False,False,False,0.3537985994664135,0.3537985994664135,0.707597198932827,34.321122890032015,0.7779783374145599,3.6810324636631773,1.8940696923197693,1.94615004565368,,,,,,,,,,,,,,,,,,,,,,,,,,
