,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5325338916301147,0.4674661083698856,3.0,random,False,0.5,20.0,50.0,16.0,34.0,pyr,1000.0,1.0,1.516010046005249,53672.0,13479.0,40193.0,1779285243.0,1.5683138370513916,2024-11-10 17:30:18.834583
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,0.5554001353473436,0.4445998646526562,0.11080027069468736,1.2492134602453153,0.8005037023885606,40.943220075607776,22.739869971548632,18.203350104059133,False,False,False,3933,2205,1728,,,,,,,,,,,,,,,,,,,,
4,4,0.4195969857212574,0.580403014278743,-0.1608060285574856,0.7229407418613831,1.3832392367668502,124.7511004215945,52.345185702310935,72.40591471928361,False,False,False,4826,1989,2837,,,,,,,,,,,,,,,,,,,,
5,5,0.5379996046236665,0.4620003953763339,0.07599920924733257,1.1645003121381001,0.85873742546615,404.3941703183175,217.56390374337045,186.8302665749472,False,False,False,5065,2654,2411,,,,,,,,,,,,,,,,,,,,
6,6,0.5204872266600908,0.4795127733399096,0.040974453320181216,1.085450181096919,0.9212767360630351,1224.5814779399334,637.3790172722711,587.2024606676628,False,False,False,4799,2509,2290,,,,,,,,,,,,,,,,,,,,
7,7,0.4571995915650325,0.5428004084349671,-0.08560081686993468,0.84229780313404,1.1872285506137832,3268.900901371793,1494.5401569737503,1774.3607443980416,False,False,False,3849,1785,2064,,,,,,,,,,,,,,,,,,,,
8,8,0.4838143402090589,0.5161856597909421,-0.032371319581883204,0.9372874488706374,1.066908557460069,9379.833550652842,4538.097980579899,4841.735570072952,False,False,False,3143,1519,1624,,,,,,,,,,,,,,,,,,,,
9,9,0.4881530061669934,0.5118469938330064,-0.02369398766601292,0.9537088466836962,1.0485380349330624,23354.16041626909,11400.403613707958,11953.756802561125,False,False,False,2220,1105,1115,,,,,,,,,,,,,,,,,,,,
10,10,0.5144608485431311,0.48553915145686977,0.028921697086261352,1.0595661482693646,0.9437825110148559,55144.817676679515,28369.8496947008,26774.967981978763,False,False,False,1456,752,704,,,,,,,,,,,,,,,,,,,,
11,11,0.4951542041080132,0.5048457958919883,-0.009691591783975082,0.9808028672065071,1.0195728758911253,124860.13288665442,61825.01972431214,63035.11316234247,False,False,False,902,442,460,,,,,,,,,,,,,,,,,,,,
12,12,0.49458847540837964,0.5054115245916199,-0.010823049183240207,0.9785856699805463,1.021882938485988,225723.37575238678,111640.18027740579,114083.19547498088,False,False,False,439,227,212,,,,,,,,,,,,,,,,,,,,
13,13,0.5171821281514352,0.48281787184856556,0.03436425630286954,1.0711743667882447,0.9335548263709387,385216.55147294386,199227.11588993395,185989.43558301017,False,False,False,215,110,105,,,,,,,,,,,,,,,,,,,,
14,14,0.5037226230602003,0.4962773769398005,0.007445246120399837,1.0150021872169743,0.9852195518335692,724320.1087758758,364856.4251278338,359463.6836480426,False,False,False,106,53,53,,,,,,,,,,,,,,,,,,,,
15,15,0.531955064609379,0.46804493539062064,0.0639101292187584,1.1365469945004754,0.8798580303663649,846719.4833724854,450416.7174834305,396302.76588905463,False,False,False,31,16,15,,,,,,,,,,,,,,,,,,,,
16,16,0.6878439173485166,0.3121560826514837,0.3756878346970329,2.203525593689876,0.45381819156702746,1323520.5522699933,910375.5613646643,413144.9909053294,False,False,False,15,8,7,,,,,,,,,,,,,,,,,,,,
17,17,0.0,1.0,-1.0,0.0,,304748.9097800055,0.0,304748.9097800055,False,True,False,1,0,1,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
