,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.405058200155494,0.5949417998445055,0.0,random,False,0.5,20.0,50.0,25.0,25.0,pyr,1000.0,1.0,1.736360788345337,53570.0,13428.0,40142.0,130250193.0,1.8045201301574707,2024-11-10 23:13:28.562946
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,0.580264568666352,0.41973543133364755,0.16052913733270446,1.3824531486957077,0.7233518191509508,52.37052558918355,30.388760441837743,21.981765147345783,False,False,False,4666,2759,1907,,,,,,,,,,,,,,,,,,,,
4,4,0.5162890320234059,0.4837109679765942,0.03257806404681174,1.0673502694865256,0.9368995620163885,160.94738788936206,83.09537110009438,77.8520167892677,False,False,False,4789,2643,2146,,,,,,,,,,,,,,,,,,,,
5,5,0.5243822229705997,0.4756177770294001,0.04876444594119951,1.1025286444206754,0.9070059132345271,515.6285936351244,270.3864681575905,245.24212547753376,False,False,False,5255,2658,2597,,,,,,,,,,,,,,,,,,,,
6,6,0.5405096197275511,0.45949038027244943,0.08101923945510167,1.1763241254519023,0.8501058325364492,1614.8934437255443,872.8654411686094,742.0280025569358,False,False,False,4912,2695,2217,,,,,,,,,,,,,,,,,,,,
7,7,0.5197709327772537,0.48022906722274583,0.039541865554507914,1.0823395921933379,0.9239244385151998,4634.454386325645,2408.8546792941156,2225.5997070315275,False,False,False,4125,2120,2005,,,,,,,,,,,,,,,,,,,,
8,8,0.5214050985591709,0.4785949014408289,0.042810197118342094,1.0894497559197984,0.9178945560052213,12129.155023902216,6324.203270677199,5804.951753225016,False,False,False,3070,1581,1489,,,,,,,,,,,,,,,,,,,,
9,9,0.5040754794126592,0.49592452058734054,0.008150958825318596,1.0164358858797002,0.9838298842966614,27333.974980367115,13778.386542482183,13555.588437884922,False,False,False,1951,951,1000,,,,,,,,,,,,,,,,,,,,
10,10,0.47715424984392385,0.5228457501560762,-0.04569150031215232,0.912609980479878,1.0957583429825846,57347.96164145976,27363.823617108854,29984.138024350912,False,False,False,1160,554,606,,,,,,,,,,,,,,,,,,,,
11,11,0.5224851876821583,0.47751481231784243,0.044970375364315876,1.0941758751860096,0.9139298559566581,106181.3569398379,55478.18620905745,50703.17073078053,False,False,False,605,323,282,,,,,,,,,,,,,,,,,,,,
12,12,0.5553629801625686,0.44463701983743226,0.11072596032513628,1.2490255093145861,0.8006241606296407,187858.4863882454,104329.64884940528,83528.83753884026,False,False,False,314,167,147,,,,,,,,,,,,,,,,,,,,
13,13,0.3914715350440639,0.6085284649559355,-0.21705692991187156,0.6433085017188325,1.5544641448513996,207360.5307663611,81175.74528665922,126184.78547970175,False,False,False,107,47,60,,,,,,,,,,,,,,,,,,,,
14,14,0.37501537193343754,0.6249846280665609,-0.24996925613312332,0.6000393531174952,1.6665573596206904,227975.8186733482,85494.43643161558,142481.38224173224,False,False,False,35,13,22,,,,,,,,,,,,,,,,,,,,
15,15,0.40272981120522255,0.5972701887947759,-0.19454037758955334,0.6742841326433621,1.4830543261929514,338759.6689819267,136428.61753303502,202331.05144889114,False,False,False,10,4,6,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
17,17,0.0,1.0,-1.0,0.0,,97123.59083644579,0.0,97123.59083644579,False,True,False,1,0,1,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
