,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.3489662524076018,0.6510337475923973,5.0,random,False,0.5,20.0,50.0,14.0,36.0,pyr,1000.0,1.0,2.5576813220977783,53825.0,13479.0,40346.0,2843683941.0,2.6625683307647705,2024-11-10 17:30:08.067933
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,0.5751736714720321,0.4248263285279677,0.1503473429440644,1.3539030724979337,0.738605311054515,66.00545269965845,37.9645985664361,28.040854133222332,False,False,False,5818,3349,2469,,,,,,,,,,,,,,,,,,,,
4,4,0.6282034424976141,0.3717965575023854,0.2564068849952286,1.6896429776480208,0.5918410061941001,187.22534121506575,117.61560387409473,69.60973734097092,False,False,False,6188,4050,2138,,,,,,,,,,,,,,,,,,,,
5,5,0.49527923363832405,0.504720766361676,-0.009441532723351869,0.9812935520933447,1.0190630498557234,426.9536278897526,211.46126562033885,215.49236226941375,False,False,False,4585,2278,2307,,,,,,,,,,,,,,,,,,,,
6,6,0.5037207103630148,0.4962792896369857,0.007441420726029066,1.0149944212491162,0.9852270899866986,1199.0209886704163,603.9717041532264,595.0492845171905,False,False,False,4014,1966,2048,,,,,,,,,,,,,,,,,,,,
7,7,0.4877063856510333,0.5122936143489663,-0.024587228697932905,0.9520055920876959,1.0504139978916038,3422.609295723135,1669.2284091127588,1753.3808866103745,False,False,False,3371,1639,1732,,,,,,,,,,,,,,,,,,,,
8,8,0.4967426129034615,0.503257387096539,-0.006514774193077532,0.9870547867550172,1.0131149895818252,9578.767666815047,4758.1820792089,4820.585587606152,False,False,False,2717,1364,1353,,,,,,,,,,,,,,,,,,,,
9,9,0.49385423379201454,0.5061457662079852,-0.01229153241597066,0.9757154297504884,1.024888988642643,24279.146083255528,11990.35908607055,12288.786997184972,False,False,False,1889,929,960,,,,,,,,,,,,,,,,,,,,
10,10,0.519131961873699,0.4808680381263006,0.038263923747398516,1.0795726076877425,0.9262924910088509,59021.15559149365,30639.76829426494,28381.387297228684,False,False,False,1280,670,610,,,,,,,,,,,,,,,,,,,,
11,11,0.49159937911136947,0.5084006208886306,-0.016801241777261097,0.9669527512616048,1.0341766944613142,110263.97633405055,54205.70230416999,56058.274029880566,False,False,False,658,335,323,,,,,,,,,,,,,,,,,,,,
12,12,0.4582554308199831,0.5417445691800167,-0.08348913836003351,0.8458883704429146,1.1821890865769806,181702.67954355397,83266.23969537666,98436.43984817727,False,False,False,291,143,148,,,,,,,,,,,,,,,,,,,,
13,13,0.530535535469944,0.4694644645300547,0.06107107093988936,1.1300866744004212,0.8848878786492725,339555.88440317527,180146.462953809,159409.42144936582,False,False,False,144,67,77,,,,,,,,,,,,,,,,,,,,
14,14,0.44708480648897986,0.5529151935110188,-0.10583038702203894,0.8085956250360664,1.236712108052027,236234.10643280786,105616.67976060898,130617.42667219858,False,False,False,31,19,12,,,,,,,,,,,,,,,,,,,,
15,15,0.3021277342807367,0.6978722657192615,-0.3957445314385249,0.43292698266114493,2.3098583365100787,485281.20976654795,146616.91239578204,338664.29737076507,False,False,False,13,5,8,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
17,17,0.0,1.0,-1.0,0.0,,325115.0564335946,0.0,325115.0564335946,False,True,False,1,0,1,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
