,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.45711011022042936,0.5428898897795715,7.0,random,False,0.5,20.0,50.0,31.0,19.0,pyr,1000.0,1.0,2.5394208431243896,53314.0,13377.0,39937.0,1281646427.0,2.6329259872436523,2024-11-10 17:30:08.078313
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,0.6248820154641838,0.3751179845358162,0.2497640309283676,1.6658279294111535,0.6003020974402115,45.991811720029865,28.73945600246153,17.25235571756833,False,False,False,4227,2688,1539,,,,,,,,,,,,,,,,,,,,
4,4,0.4923890921483351,0.5076109078516648,-0.015221815703329757,0.9700128278020024,1.03091420168736,133.300520375286,65.63572221048771,67.66479816479827,False,False,False,4812,2276,2536,,,,,,,,,,,,,,,,,,,,
5,5,0.5267575437457139,0.47324245625428646,0.05351508749142746,1.113081754995102,0.898406604467612,443.1778300444271,233.44726519675785,209.73056484766937,False,False,False,5267,2660,2607,,,,,,,,,,,,,,,,,,,,
6,6,0.5301202281299328,0.4698797718700666,0.06024045625986621,1.1282039786903706,0.8863645394699007,1267.2588518341215,671.7995516339812,595.4593002001395,False,False,False,4739,2519,2220,,,,,,,,,,,,,,,,,,,,
7,7,0.5110655874012496,0.4889344125987505,0.022131174802499144,1.045264097253595,0.9566960183818375,3489.0472414393166,1783.131977916894,1705.915263522423,False,False,False,3986,2042,1944,,,,,,,,,,,,,,,,,,,,
8,8,0.4984735657821986,0.5015264342178011,-0.003052868435602538,0.993912846407859,1.0061244339623345,9525.879570880017,4748.399156908362,4777.4804139716525,False,False,False,3073,1508,1565,,,,,,,,,,,,,,,,,,,,
9,9,0.5220015103138311,0.4779984896861695,0.04400302062766172,1.0920568193772997,0.9157032695150503,22810.23983888533,11906.979646518863,10903.26019236648,False,False,False,2118,1115,1003,,,,,,,,,,,,,,,,,,,,
10,10,0.5234154118586775,0.47658458814132315,0.04683082371735429,1.0982634035649248,0.9105283821294917,49539.169827923404,25929.564978619495,23609.604849303938,False,False,False,1354,701,653,,,,,,,,,,,,,,,,,,,,
11,11,0.48430125277309405,0.5156987472269058,-0.031397494453811695,0.9391165973882095,1.0648305043070416,98941.88262557493,47917.677707294366,51024.20491828054,False,False,False,780,389,391,,,,,,,,,,,,,,,,,,,,
12,12,0.5699589050194537,0.430041094980546,0.1399178100389077,1.3253591614197644,0.7545124590445129,183114.9290269881,104367.98444093711,78746.94458605093,False,False,False,395,212,183,,,,,,,,,,,,,,,,,,,,
13,13,0.5399227424857257,0.4600772575142744,0.07984548497145123,1.173547993662725,0.8521168332271868,274395.93445087306,148152.6054556488,126243.32899522429,False,False,False,171,89,82,,,,,,,,,,,,,,,,,,,,
14,14,0.580958546132355,0.4190414538676461,0.16191709226470888,1.3863987459241927,0.7212932087105908,287378.85172374966,166955.1998866152,120423.65183713475,False,False,False,53,32,21,,,,,,,,,,,,,,,,,,,,
15,15,0.2841377027253857,0.7158622972746153,-0.43172459454922946,0.3969167028451372,2.5194203036352554,364025.56352862774,103433.38735433824,260592.17617428984,False,False,False,19,6,13,,,,,,,,,,,,,,,,,,,,
16,16,0.22641736830813344,0.7735826316918676,-0.5471652633837342,0.2926867267081039,3.4166223089347634,286119.5085387407,64782.42614495818,221337.0823937828,False,False,False,4,1,3,,,,,,,,,,,,,,,,,,,,
17,17,0.6047992164544577,0.3952007835455442,0.20959843290891342,1.5303593556381667,0.6534412955465585,283159.5238034371,171254.65812793613,111904.86567550154,False,False,False,2,1,1,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
