,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.44540669299818864,0.5545933070018102,1.0,random,False,0.5,20.0,50.0,31.0,19.0,pyr,1000.0,1.0,2.536512851715088,53800.0,13479.0,40321.0,4259459283.0,2.60823917388916,2024-11-10 17:30:08.106047
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,0.5515709388929543,0.4484290611070461,0.1031418777859082,1.2300071220435171,0.8130034225644267,61.88018192759061,34.13131004466798,27.74887188292266,False,False,False,5302,2899,2403,,,,,,,,,,,,,,,,,,,,
4,4,0.5271275262020342,0.47287247379796554,0.05425505240406863,1.1147350615871312,0.8970741429593375,185.57239242940142,97.82031615270347,87.7520762766979,False,False,False,5753,3139,2614,,,,,,,,,,,,,,,,,,,,
5,5,0.5098444487083049,0.490155551291695,0.019688897416609875,1.0401686716894754,0.9613825403679654,527.4893853474248,268.9375348719404,258.55185047548434,False,False,False,4953,2667,2286,,,,,,,,,,,,,,,,,,,,
6,6,0.4960815585664889,0.5039184414335108,-0.007836882867021966,0.9844481125859809,1.0157975694352919,1708.8997173994599,847.7536352413565,861.146082158103,False,False,False,4625,2324,2301,,,,,,,,,,,,,,,,,,,,
7,7,0.4949984960566014,0.505001503943399,-0.010003007886797666,0.9801921225804531,1.0202081581388358,4844.798941502999,2398.168189740599,2446.6307517624023,False,False,False,3605,1776,1829,,,,,,,,,,,,,,,,,,,,
8,8,0.4655246648406605,0.5344753351593388,-0.06895067031867821,0.8709937282734992,1.1481138928316046,13344.165822105524,6212.038321913871,7132.127500191643,False,False,False,2693,1263,1430,,,,,,,,,,,,,,,,,,,,
9,9,0.5021820360542361,0.4978179639457635,0.004364072108472571,1.0087664014248952,0.9913097805274714,33071.479190823935,16607.902755373263,16463.576435450657,False,False,False,1880,930,950,,,,,,,,,,,,,,,,,,,,
10,10,0.4952369206991779,0.5047630793008214,-0.009526158601643542,0.9811274655530694,1.0192355581813135,74023.64955333817,36659.24426371027,37364.40528962785,False,False,False,1114,544,570,,,,,,,,,,,,,,,,,,,,
11,11,0.5259966653525431,0.47400333464745636,0.051993330705086736,1.1096897994267427,0.9011527370230783,147110.10839640786,77379.42645616169,69730.6819402461,False,False,False,630,325,305,,,,,,,,,,,,,,,,,,,,
12,12,0.4603309359704813,0.539669064029517,-0.07933812805903573,0.8529874448117405,1.1723501982150581,233202.17257895815,107350.17437362151,125851.99820533625,False,False,False,285,131,154,,,,,,,,,,,,,,,,,,,,
13,13,0.46722102126890613,0.5327789787310926,-0.06555795746218641,0.876950930724924,1.140314657256089,375106.6958134349,175257.73350275797,199848.96231067643,False,False,False,116,59,57,,,,,,,,,,,,,,,,,,,,
14,14,0.41874025368745743,0.5812597463125416,-0.1625194926250842,0.7204012600974127,1.3881152843413682,478273.05602158466,200272.1808103539,278000.8752112303,False,False,False,35,18,17,,,,,,,,,,,,,,,,,,,,
15,15,0.666294218887707,0.33370578111229215,0.33258843777541486,1.9966517111775737,0.5008384759354078,104701.69664252985,69762.13518065208,34939.56146187768,False,False,False,5,3,2,,,,,,,,,,,,,,,,,,,,
16,16,0.39309714635879484,0.606902853641204,-0.21380570728240916,0.6477101631675481,1.5439004308804127,766770.7097532453,301415.37791550846,465355.33183773595,False,False,False,4,2,2,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
