,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000160471379179,0.4999839528620821,0.0,complete,False,0.5,12.0,66.0,32.0,34.0,cx,1.0,10.0,True,False,144.0,144.0,5.364461183547974,68817.0,18324.0,50493.0,130250193.0,5.450577020645142,2024-11-10 23:25:12.178765
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,33.0,33.0,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.4818181818181818,0.5181818181818182,-0.03636363636363634,0.9298245614035088,1.0754716981132075,219.99999999999997,105.99999999999999,113.99999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4895622895622896,0.5104377104377105,-0.020875420875420818,0.9591029023746702,1.0426409903713894,1485.0,727.0,758.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.49579124579124634,0.5042087542087537,-0.008417508417507337,0.9833055091819722,1.0169779286926972,9503.999999999993,4712.000000000002,4791.999999999991,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5030303030303022,0.49696969696969784,0.006060606060604387,1.012195121951216,0.9879518072289191,55440.00000000621,27888.000000003074,27552.000000003132,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.4999438832772156,0.5000561167227844,-0.00011223344556870687,0.9997755582987279,1.000224492086658,285120.0000000352,142544.00000001732,142576.0000000179,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5000416867083424,0.49995831329165763,8.337341668477696e-05,1.000166760736782,0.9998332670677248,1247400.000000019,623751.9999999958,623648.0000000233,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5001010101009963,0.49989898989900367,0.00020202020199268527,1.0004041220448023,0.9995960412038524,4435199.999987817,2218047.9999938463,2217151.999993971,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.49997327775102907,0.5000267222489709,-5.344449794193903e-05,0.9998931167164395,1.0001068947088179,11975040.000153773,5987200.000076565,5987840.000077208,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
