,l,pos_k_bal,neg_k_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,avg_pos_k_balance,avg_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.42857142857142855,0.5714285714285714,0.4234029760289474,0.5765970239710527,0.43768493518079526,0.5623150648192047,0.4502766418663784,0.5497233581336216,0.4607002106745329,0.5392997893254671,0.46809766918482,0.5319023308151799,0.41610924262463084,0.5838907573753692,0.0,complete,False,False,1.0,9.0,36.0,0.0,36.0,pyr,1000.0,,5.274024963378906,54220.0,10785.0,43435.0,130250193.0,8.757253170013428,2024-12-09 09:08:44.298416
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.0,1.0,-1.0,0.0,,84.13199999999573,0.0,84.13199999999573,False,True,False,9348,0,9348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1.0,0.0,1.0,,0.0,376.89300000004425,376.89300000004425,0.0,False,False,True,8272,8272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.0,1.0,-1.0,0.0,,1491.70896000014,0.0,1491.70896000014,False,True,False,5684,0,5684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,1.0,0.0,1.0,,0.0,5078.21400000019,5078.21400000019,0.0,False,False,True,3096,3096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.0,1.0,-1.0,0.0,,13318.562204081523,0.0,13318.562204081523,False,True,False,1228,0,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,1.0,0.0,1.0,,0.0,24213.780562500237,24213.780562500237,0.0,False,False,True,324,324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.0,1.0,-1.0,0.0,,25509.168000000038,0.0,25509.168000000038,False,True,False,48,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
