,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000011903260418,0.4999988096739581,0.0,complete,False,0.5,22.0,231.0,111.0,120.0,cx,1.0,10.0,True,False,484.0,484.0,1619.342849969864,114487.0,20236.0,94251.0,130250193.0,1619.5223262310028,2024-11-10 20:03:55.718595
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4909090909090909,0.509090909090909,-0.0181818181818181,0.9642857142857144,1.037037037037037,1539.9999999999998,755.9999999999999,783.9999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4998405103668261,0.5001594896331738,-0.0003189792663476,0.9993622448979592,1.0006381620931717,21945.0,10969.0,10976.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5000632895369738,0.4999367104630262,0.0001265790739475,1.0002531901964755,0.9997468738925732,316007.99999999994,158023.99999999997,157983.99999999997,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4997422254388174,0.5002577745611826,-0.0005155491223651,0.9989694330631496,1.0010316301007232,4476780.000005208,2237236.000002592,2239544.000002616,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5000469087156403,0.4999530912843597,9.381743128058115e-05,1.0001876524676336,0.9998123827392084,61395840.0,30700800.000000056,30695039.999999944,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5000003871830361,0.499999612816964,7.7436607202642e-07,1.0000015487333431,0.9999984512690552,805820399.9999998,402910511.99998885,402909888.0000109,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4999939242044477,0.5000060757955522,-1.215159110445938e-05,0.9999756971131096,1.000024303477535,10027987200.132528,5013932672.066236,5014054528.066293,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5000018028176388,0.4999981971823612,3.605635277563221e-06,1.0000072112965566,0.999992788755446,117327450245.46368,58663936642.72865,58663513602.735016,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
