,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.499176715009778,0.5008232849902222,0.0,complete,False,True,0.5,309.0,47586.0,23793.0,23793.0,pyr,1000.0,,730.3975095748901,18602956.0,3869190.0,14733766.0,130250193.0,730.866290807724,2024-11-29 07:19:01.081195
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4998801204898068,0.5001198795101927,-0.0002397590203858,0.999520596900446,1.0004796330371188,4867345.5459916,2433089.2779958053,2434256.2679957915,False,False,False,458794,229342,229452,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5003538068462022,0.4996461931537971,0.000707613692405,1.001416229528216,0.9985857733413376,1117934914.271979,559362990.1622674,558571924.1097109,False,False,False,606263,303346,302917,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4993339877550025,0.5006660122449981,-0.0013320244899955,0.9973394948779872,1.002667602291573,272672310270.63635,136154552037.80618,136517758232.83032,False,False,False,747734,373369,374365,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5002448424393477,0.4997551575606487,0.0004896848786989,1.0009798495749185,0.9990211095904336,69033032213145.23,34533418322575.25,34499613890569.73,False,False,False,882200,441316,440884,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.500558498502058,0.4994415014979381,0.0011169970041199,1.002236492163286,0.9977684985721696,1.7907756428775422e+16,8963879669528402.0,8943876759246950.0,False,False,False,1008060,504593,503467,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.500396794328867,0.4996032056711327,0.0007935886577342,1.001588437881755,0.9984140812516624,4.723879211558869e+18,2.363814014260834e+18,2.360065197298034e+18,False,False,False,1124008,562450,561558,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4994122829209205,0.5005877170790789,-0.0011754341581584,0.9976518917303504,1.0023536348591262,1.2613986342124344e+21,6.29957971585363e+20,6.314406626270706e+20,False,False,False,1229333,613944,615389,,,,,,,,,,,,,,,,,,,,,
