,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5030714516650587,0.49692854833494116,1.0,er,True,0.5,0.5,10.0,49.0,31.0,18.0,cx,20.0,10.0,False,False,100.0,100.0,35.64565825462341,84210.0,41826.0,42384.0,4259459283.0,35.74443602561951,2024-11-10 23:12:18.551433
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.4666666666666667,0.5333333333333333,-0.06666666666666667,0.875,1.1428571428571426,15.0,7.0,8.0,False,False,False,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5,0.5,1.0463405010212043e-16,1.0000000000000002,1.0,39.99999999999999,20.0,19.999999999999996,False,False,False,1.0821115497893178e-16,9.773746735086136e-17,1.0726057011753739e-16,2.7755575615628914e-16,3.3121136700345437e-16,3.891802844472395e-15,3.809860975949991e-15,4.5635433489597435e-15,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.49549549549549504,0.504504504504505,-0.00900900900901002,0.9821428571428552,1.0181818181818203,111.00000000000011,55.000000000000014,56.00000000000013,False,False,False,3.979805003092567e-16,4.002966042486721e-16,7.881910400880703e-16,1.5501433072503543e-15,1.616509124176106e-15,1.2137600741984982e-13,7.778739414202824e-14,6.999837751340204e-14,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4771929824561396,0.5228070175438604,-0.04561403508772065,0.9127516778523465,1.0955882352941202,285.0000000000015,136.0000000000005,149.00000000000097,False,False,False,8.272837874861613e-16,8.16221591458124e-16,1.6454427809769923e-15,3.008376637767369e-15,3.653966450429673e-15,2.240525014908601e-12,1.0795012735873707e-12,1.209376298888398e-12,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5061728395061713,0.4938271604938286,0.012345679012342643,1.024999999999994,0.9756097560975668,648.0000000000075,328.0000000000028,320.00000000000466,False,False,False,2.6976363451480692e-15,2.6924339008921937e-15,5.40023593261236e-15,1.1027035547636205e-14,1.050082602038251e-14,2.3332627479372943e-11,1.2332709956449714e-11,1.1245756085302648e-11,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.511744966442951,0.4882550335570491,0.023489932885901673,1.0481099656357298,0.954098360655746,1192.000000000045,610.0000000000205,582.0000000000248,False,False,False,7.351906593153086e-15,7.345931401053494e-15,1.4707502517917997e-14,3.0826917203706295e-14,2.805451424642274e-14,1.5823477912259407e-10,7.731851779576343e-11,8.167708991360314e-11,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5051235684147171,0.49487643158528305,0.010247136829433953,1.02070645554206,0.9797136038185791,1658.9999999997672,837.9999999998978,820.9999999998694,False,False,False,1.3706713823954603e-14,1.3694253356472095e-14,2.7407063920784237e-14,5.594775034003064e-14,5.370019774281038e-14,9.731370328808455e-10,4.94372411216496e-10,4.798151262084183e-10,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5058823529411993,0.49411764705880074,0.011764705882398491,1.023809523809617,0.9767441860464225,1529.9999999996803,773.9999999998732,755.9999999998072,False,False,False,3.7110605844156404e-14,3.7112166873759744e-14,7.422074299387623e-14,1.5198768303985188e-13,1.450324009809139e-13,6.2376744643952155e-09,3.117965240732821e-09,3.1202836447472404e-09,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.4872521246459815,0.5127478753540184,-0.0254957507080369,0.9502762430942621,1.0523255813949732,706.0000000034244,344.00000000173156,362.00000000169285,False,False,False,4.819574952969324e-13,4.819599202584666e-13,9.639026587587557e-13,1.833162772049933e-12,2.030022220160585e-12,2.543378240250384e-08,1.2731176736351921e-08,1.2702701594384859e-08,,,,,,,,,,,,,,,,,,,,,,,,,
