,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.506510416666661,0.4934895833333391,2.0,er,True,0.5,0.5,10.0,43.0,19.0,24.0,cx,20.0,10.0,False,False,100.0,100.0,34.25018310546875,81253.0,41877.0,39376.0,1535995910.0,34.316346883773804,2024-11-10 23:12:53.430756
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.4000000000000001,0.5999999999999999,-0.20000000000000004,0.6666666666666664,1.5,10.0,4.0,6.0,False,False,False,5.551115123125783e-17,1.1102230246251565e-16,2.7755575615628914e-17,2.220446049250313e-16,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.34615384615384615,0.6538461538461535,-0.30769230769230743,0.5294117647058825,1.888888888888888,25.999999999999993,9.0,16.999999999999996,False,False,False,1.6279065094399115e-16,2.507236594037335e-16,2.498001805406602e-16,3.130356458463198e-16,1.0102419493020887e-15,2.9724135207732003e-15,3.76822190084106e-15,4.278033777464535e-15,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4411764705882349,0.5588235294117649,-0.11764705882353003,0.7894736842105254,1.2666666666666686,68.00000000000003,29.99999999999999,38.000000000000036,False,False,False,2.916317306881066e-16,2.9686790708185334e-16,5.522156442410455e-16,8.892186446356282e-16,1.4381566972608863e-15,7.062666122572624e-14,4.310365650355578e-14,3.542039502410295e-14,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5625000000000002,0.43749999999999967,0.1250000000000006,1.2857142857142874,0.7777777777777768,144.0000000000007,81.00000000000043,63.00000000000026,False,False,False,1.1105005456955141e-15,1.1102924113959267e-15,2.2021539388329187e-15,5.8125238456645184e-15,3.5155698988239903e-15,8.205461218296961e-13,4.291936923144614e-13,4.4369966157796885e-13,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4904942965779481,0.5095057034220519,-0.019011406844104076,0.9626865671641838,1.0387596899224758,263.00000000000324,129.00000000000188,134.0000000000013,False,False,False,2.736677235871547e-15,2.74451982133419e-15,5.4617304035192714e-15,1.0530657056851958e-14,1.135579614559663e-14,8.686178463434493e-12,4.488430466492268e-12,4.3092363740323605e-12,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.49046321525885717,0.5095367847411428,-0.019073569482285585,0.9625668449197926,1.038888888888882,366.9999999999758,179.99999999998872,186.99999999998707,False,False,False,5.669303081746737e-15,5.67860356017705e-15,1.1337616815467548e-14,2.1856425813081482e-14,2.3593009886092557e-14,5.3563691131357824e-11,2.6202802299266975e-11,2.752168431063078e-11,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5199999999999932,0.48000000000000664,0.03999999999998659,1.0833333333333042,0.9230769230769477,375.00000000014876,195.00000000007483,180.00000000007392,False,False,False,2.2440831741787337e-14,2.2439310914241127e-14,4.4865272589599634e-14,9.741337485727818e-14,8.297078168065826e-14,1.8920722447423514e-10,9.505052211207596e-11,9.476400203944164e-11,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5260869565217849,0.47391304347821495,0.052173913043569886,1.1100917431194701,0.900826446280826,229.99999999948614,120.99999999974015,108.99999999974591,False,False,False,1.1740480402245232e-13,1.1739029526611133e-13,2.3478383238224615e-13,5.226856118173999e-13,4.241577293888734e-13,9.480471147668917e-10,4.732067856137845e-10,4.749930355981476e-10,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5471698113193669,0.4528301886806331,0.09433962263873381,1.2083333333265653,0.827586206901187,53.00000000156031,29.000000000780197,24.00000000078011,False,False,False,3.392551608637902e-12,3.392551457131822e-12,6.785110530608494e-12,1.6544598637658118e-11,1.1331377286863254e-11,3.821619445892317e-09,1.911441570649666e-09,1.910207490842205e-09,,,,,,,,,,,,,,,,,,,,,,,,,
