,l,pos_k_bal,neg_k_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,avg_pos_k_balance,avg_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.4557273027202081,0.5442726972797919,0.418607966464813,0.5813920335351865,0.4258063445073473,0.5741936554926523,0.43254273876324856,0.5674572612367509,0.4388716323295307,0.5611283676704689,0.44487477669017333,0.5551252233098263,0.5207881121208103,0.47921188787918995,0.0,complete,False,False,0.3,12.0,66.0,50.0,16.0,pyr,1000.0,,6.24124813079834,68703.0,14559.0,54144.0,130250193.0,8.756267786026001,2024-12-09 09:08:44.296895
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5726843443515938,0.4273156556484062,0.14536868870318762,1.3401904114245615,0.7461626284410179,220.2399999999887,126.12799999998855,94.11200000000015,False,False,False,13765,7883,5882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5281946670552294,0.47180533294477056,0.05638933411045887,1.1195182211241765,0.8932413793103241,1482.4080000001338,783.0000000000792,699.4080000000546,False,False,False,13726,7250,6476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5142781829364725,0.4857218170635277,0.028556365872944897,1.0587916063675806,0.9444729198701545,9439.856639999016,4854.712319999489,4585.144319999529,False,False,False,11381,5853,5528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.503100967501861,0.4968990324981393,0.006201935003721577,1.0124812780828765,0.9876725838264292,55724.54400000541,28035.07200000274,27689.472000002683,False,False,False,8062,4056,4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5040135192226454,0.49598648077735485,0.008027038445290536,1.0161839863713822,0.984073763621121,288482.61746940226,145399.13926531363,143083.4782040887,False,False,False,4734,2386,2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.49627029398859196,0.5037297060114085,-0.007459412022816592,0.9851916376306629,1.0150309460654279,1275948.2880000146,633215.2320000079,642733.0560000074,False,False,False,2279,1131,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.47374847374847473,0.5262515262515253,-0.05250305250305054,0.9002320185614885,1.1108247422680368,4347592.704000004,2059665.408000006,2287927.2959999978,False,False,False,819,388,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.4292682926829262,0.5707317073170721,-0.1414634146341459,0.7521367521367525,1.329545454545454,10577549.721600011,4540606.709759998,6036943.011839995,False,False,False,205,88,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,0.5357142857142856,0.4642857142857146,0.07142857142857098,1.1538461538461529,0.8666666666666675,14327985.109685954,7675706.30876033,6652278.8009256255,False,False,False,28,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,0.0,1.0,-1.0,0.0,,5159780.351999997,0.0,5159780.351999997,False,True,False,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
