,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000020181896618,0.4999979818103381,0.0,complete,False,0.5,17.0,136.0,66.0,70.0,cx,1.0,10.0,True,False,289.0,289.0,73.1796350479126,92070.0,19055.0,73015.0,130250193.0,73.31036376953125,2024-11-10 23:25:13.509719
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,1.0,0.0,1.0,,0.0,68.0,68.0,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5147058823529411,0.4852941176470588,0.0294117647058823,1.0606060606060606,0.9428571428571428,679.9999999999999,349.99999999999994,329.99999999999994,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4974789915966386,0.5025210084033613,-0.0050420168067226,0.9899665551839464,1.010135135135135,7140.0,3552.0,3588.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4983839689722044,0.5016160310277956,-0.0032320620555913,0.9935567010309282,1.0064850843060955,74255.99999999999,37008.0,37247.99999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.500129282482224,0.499870717517776,0.0002585649644479,1.0005172636751596,0.9994830037482216,742559.9999999998,371376.0000000001,371183.9999999997,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4999337264043151,0.5000662735956849,-0.0001325471913698,0.9997349407501196,1.0002651295249134,7001280.000000015,3500176.0000000107,3501104.000000004,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5000257259080635,0.4999742740919364,5.145181612701924e-05,1.0001029089271054,0.9998971016620524,61261199.999974765,30632175.999986444,30629023.99998832,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5000072476543096,0.4999927523456904,1.44953086191897e-05,1.0000289910374724,0.9999710098029836,490089600.0001506,245048352.00007683,245041248.0000738,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5000010156872634,0.4999989843127366,2.031374526790254e-06,1.0000040627573066,0.9999959372591992,3528645120.053714,1764326144.0267625,1764318976.0269513,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
