,l,pos_k_bal,neg_k_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,avg_pos_k_balance,avg_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.4840173853108017,0.5159826146891984,0.47577633195934294,0.5242236680406572,0.47470641171547817,0.5252935882845219,0.4736066140949425,0.5263933859050577,0.472478781504475,0.5275212184955254,0.47132540457995925,0.528674595420041,0.5007079681423707,0.49929203185762927,0.0,complete,False,False,0.8,19.0,171.0,31.0,140.0,pyr,1000.0,,9.315020084381104,103597.0,20423.0,83174.0,130250193.0,10.004817008972168,2024-12-09 09:08:44.296894
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.38098395987893485,0.619016040121066,-0.23803208024213118,0.6154670237695661,1.6247824194954836,967.760777777775,368.70133333329466,599.0594444444813,False,False,False,24127,9192,14935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5712179841533052,0.4287820158466949,0.14243596830661023,1.3321873657069057,0.75064516129033,11632.435312498092,6644.656249998882,4987.77906249921,False,False,False,27135,15500,11635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.45812807881774675,0.5418719211822539,-0.08374384236450721,0.8454545454545878,1.182795698924672,139683.26063995404,63992.82383998072,75690.43679997341,False,False,False,26796,12276,14520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5234580470009376,0.4765419529990636,0.04691609400187393,1.0984511304967228,0.910372771474865,1621432.1618337568,848751.7127780064,772680.4490557523,False,False,False,23574,12340,11234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.4869215291750495,0.5130784708249511,-0.026156941649901497,0.9490196078431333,1.0537190082644672,18132826.705431268,8829263.707674768,9303562.99775651,False,False,False,18886,9196,9690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5050897107286705,0.494910289271329,0.010179421457341478,1.0205682154483573,0.979846309989851,190715915.56320414,96328646.62317233,94387268.94003172,False,False,False,13655,6897,6758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.503458442000228,0.49654155799977384,0.006916884000454219,1.0139301210322005,0.98626126126126,1849111635.291295,930950862.9882493,918160772.3030492,False,False,False,8819,4440,4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.49191063174113997,0.5080893682588606,-0.016178736517720643,0.9681576952236522,1.0328895849647635,16753945268.686474,8241443801.276047,8512501467.410438,False,False,False,5192,2554,2638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,0.5175788329104744,0.482421167089523,0.035157665820951305,1.072877535687457,0.9320728291316493,139798444671.67987,72356715835.86758,67441728835.81191,False,False,False,2759,1428,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,0.5003909304143865,0.49960906958561274,0.0007818608287738173,1.0015649452269197,0.9984374999999973,1034660007852.9269,517734483992.0826,516925523860.84357,False,False,False,1279,640,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,0.4941634241245151,0.5058365758754867,-0.011673151750971618,0.9769230769230792,1.023622047244092,6731620523077.021,3326520647590.6,3405099875486.433,False,False,False,514,254,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,0.5714285714285708,0.42857142857142755,0.1428571428571433,1.333333333333335,0.749999999999999,39049198929238.96,22313827959565.098,16735370969673.8,False,False,False,182,104,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,0.37288135593220373,0.6271186440677958,-0.2542372881355921,0.5945945945945958,1.681818181818178,209517308716401.84,78125098165438.05,131392210550963.7,False,False,False,59,22,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,0.5333333333333342,0.4666666666666656,0.06666666666666865,1.1428571428571475,0.8749999999999964,889519161906736.6,474410219683593.7,415108942223142.8,False,False,False,15,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,0.3333333333333305,0.6666666666666708,-0.3333333333333403,0.4999999999999926,2.0000000000000298,5988403049846908.0,1996134349948952.2,3992268699897963.5,False,False,False,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,0.5,0.5,0.0,1.0,1.0,3.382954850484523e+16,1.6914774252422616e+16,1.6914774252422616e+16,False,False,False,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
