,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5062530748633651,0.4937469251366349,0.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,63.0,36.0,27.0,cx,20.0,10.0,False,False,400.0,400.0,10.919604063034058,89351.0,37328.0,52023.0,130250193.0,11.071263074874878,2024-11-10 23:12:16.483074
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4825000000000005,0.5174999999999994,-0.0349999999999987,0.8774509803921586,116096892033445.12,3.6,1.7000000000000015,1.8999999999999984,False,False,False,0.2945732481507389,0.2945732481507389,0.5891464963014779,0.7432252004456459,307943983837553.94,1.93390796058137,1.144552314225959,1.1789826122551583,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4936796536796521,0.5063203463203478,-0.0126406926406958,0.7864583333333275,-42170802962384.125,4.4999999999999885,1.8499999999999872,2.650000000000002,False,False,False,0.3180160698542135,0.3180160698542136,0.6360321397084272,0.6541592024521049,103771382210422.05,3.2171415884290826,1.3883443376914792,2.151162476429898,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5879389518863137,0.4120610481136862,0.1758779037726275,6945867419993.181,-768532359618.6953,6.499999999999862,3.299999999999872,3.199999999999989,False,False,False,0.2797855896992438,0.2797855896992438,0.5595711793984877,47996549646794.1,3349954890422.613,4.716990566028325,2.451530134426256,2.6758176320519405,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4892314384961661,0.5107685615038339,-0.0215371230076676,404955623267.2304,138130279333.9955,7.149999999999961,3.650000000000099,3.4999999999998628,False,False,False,0.2701047794836879,0.2701047794836879,0.5402095589673759,3749046872698.239,586037143220.7921,5.790293602227647,3.4536212878658,2.636285265292667,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4693899605294464,0.5306100394705535,-0.0612200789411069,1.2013157894733673,-46614163604.38982,6.099999999998771,3.549999999998801,2.549999999999971,False,False,False,0.2782155474286201,0.2782155474286201,0.5564310948572402,1.0139244840432862,362337651871.3906,5.018964036530885,3.4274626183218864,1.8296174463531512,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5524426993915699,0.4475573006084302,0.1048853987831396,13666487508.816118,107721731464.87636,3.7000000000042954,2.000000000001221,1.700000000003073,False,False,False,0.3436682539149741,0.3436682539149742,0.6873365078299484,57981995950.66391,692318914385.731,3.451086785357175,2.3021728866519564,1.7058722109251716,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.3693348022690463,0.6306651977309536,-0.2613303954619074,-64015873583.23838,62007842553.33617,1.4999999999678826,0.6499999999840478,0.8499999999838346,False,False,False,0.5834145596052376,0.5834145596052376,1.1668291192104752,337373634001.0352,344543781778.2324,2.109502310936877,0.963068014185291,1.3883443376845637,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5703506386393081,0.429649361360692,0.1407012772786161,-2.749245966439948,10024037632.625303,0.500000000041571,0.200000000017394,0.3000000000241769,False,False,False,0.3269513748692924,0.3269513748692923,0.6539027497385849,22.478286515942276,43693767045.43515,1.9621416870204824,0.8717797886991244,1.099999999994844,,,,,,,,,,,,,,,,,,,,,,,,,,
