,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5003660555130988,0.4996339444869013,0.0,complete,False,0.5,9.0,36.0,19.0,17.0,cx,1.0,10.0,True,False,81.0,81.0,0.6513988971710205,52020.0,15473.0,36547.0,130250193.0,0.7019519805908203,2024-11-10 23:25:06.960274
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,18.0,18.0,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.41666666666666663,0.5833333333333334,-0.16666666666666663,0.7142857142857142,1.4000000000000001,83.99999999999999,34.99999999999999,48.99999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.49735449735449744,0.5026455026455026,-0.005291005291005089,0.9894736842105266,1.01063829787234,378.0,188.00000000000003,189.99999999999997,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5119047619047628,0.4880952380952372,0.023809523809525595,1.0487804878048819,0.9534883720930198,1511.9999999999811,773.9999999999917,737.9999999999894,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4936507936507937,0.5063492063492063,-0.012698412698412598,0.974921630094044,1.0257234726688103,5040.00000000017,2488.000000000084,2552.000000000086,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.4993827160493822,0.5006172839506178,-0.0012345679012355565,0.9975339087546219,1.0024721878862815,12960.000000001364,6472.000000000675,6488.000000000689,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5026455026454906,0.49735449735450943,0.0052910052909812145,1.0106382978722916,0.9894736842105741,22679.999999996275,11399.999999997854,11279.999999998421,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.49920634920631163,0.5007936507936883,-0.0015873015873766488,0.9968304278920848,1.0031796502386245,20159.999999942203,10063.99999997039,10095.999999971813,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
